old_subjCode,condition,word1,word2,word3,word4,group_id,category_response,difficulty,consensus
gpt5_run1,2.0,bird,rain,cake,chest,49,"Things commonly depicted in a pirate-themed childrens birthday party scene (parrot, stormy sea, birthday cake, treasure chest)",3.0,25.0
93117,3.0,pal,north,spot,client,50,Ways to relate places or people,4.0,30.0
91608,2.0,land,gift,cash,machine,51,Things that we can exchange for money,1.0,59.0
91608,2.0,horn,chick,basketball,flower,52,Items you could find on a garage table.,2.0,33.0
91608,2.0,football,bullet,crowd,soldier,53,WWII when they ceased fire for one day on christmas and played games with each other,1.0,0.0
93990,3.0,bike,dollar,rose,button,54,Things that can be modified or decorated,2.0,37.0
95936,3.0,university,stairs,belt,photo,55,things seen in graduation photos,1.0,50.0
91608,2.0,radar,ear,jacket,senator,56,Things we can hear.,4.0,24.0
93117,3.0,tea,arms,suit,beach,57,The beaches of Southern France,0.0,17.0
93555,3.0,girlfriend,record,cop,station,58,police show,2.0,52.0
93117,3.0,river,sea,pants,hole,59,The favorite things of an old fisherman,0.0,19.0
94320,3.0,health,condition,pardon,shame,60,Words that may be on the court verdicts,2.0,43.0
deepseek-chat_run2,3.0,coat,milk,jury,meat,61,"Things that can be ""hung"" (literally or figuratively)",3.0,25.0
93555,3.0,sheriff,prison,foot,wall,62,have to do with jail,1.0,85.0
96162,3.0,buck,lake,pocket,glasses,63,Things you're likely to see or have on a lake camp,1.0,86.0
96162,3.0,shoe,gate,mail,chocolate,64,Things required when picking packages while hungry,2.0,61.0
gpt5_run3,3.0,base,project,weather,property,65,Key elements to consider when planning a building construction project,2.0,40.0
96162,3.0,language,freedom,rule,society,67,Essences for shaping a community or country,3.0,74.0
deepseek-chat_run3,3.0,telephone,wire,sword,desert,68,Items that could be used to signal for help in an emergency,3.0,40.0
gpt5_run1,3.0,gas,test,group,field,69,Elements involved in running a scientific experiment outdoors (field study),3.0,25.0
gpt5_run3,3.0,desk,note,cream,ticket,71,Items commonly found at an office reception desk (front desk area),3.0,25.0
93990,3.0,teeth,hall,bottle,restaurant,72,Things you can find in a town,2.0,36.0
96162,3.0,schedule,damage,divorce,sale,73,Effects of divorce,1.0,88.0
deepseek-chat_run3,1.0,account,subject,winner,vacation,74,"Things that can be ""taken"" in a metaphorical or literal sense",1.0,40.0
95103,1.0,charge,fool,force,pressure,75,a drunk person filling a pool and not checking these things,3.0,0.0
94962,0.0,secret,ways,duty,decision,77,things that someone might have to do,3.0,35.0
87265,0.0,tour,demon,monsieur,season,78,things that can be titles,4.0,17.0
93945,0.0,tree,tape,key,church,79,Jesus,1.0,99.0
93520,0.0,chair,drug,breath,sky,80,breaking bad,2.0,44.0
gpt5_run3,1.0,fairy,trail,suite,spy,81,"Themes you might choose for a childs special birthday party (fairy party, nature trail adventure, hotel suite sleepover, spy/secret agent mission)",3.0,15.0
87265,0.0,tube,locker,actress,flag,82,things than can be on a wall,4.0,5.0
95875,0.0,weight,manager,battle,player,83,training,3.0,35.0
91304,1.0,airport,neighborhood,princess,cheese,84,Things in which a toy version can be found in a child's playroom,2.0,65.0
95875,0.0,boyfriend,radio,bus,sun,85,in song titles,2.0,35.0
deepseek-chat_run1,1.0,pool,animal,prince,driver,86,Roles or titles in a fairy tale or story,1.0,40.0
deepseek-chat_run2,0.0,dress,sergeant,film,bathroom,87,Things you might find in a military-themed movie set,1.0,40.0
deepseek-chat_run3,1.0,exit,hug,warden,chopper,91,Things you might encounter in a prison escape scenario,1.0,65.0
94962,0.0,speech,devil,trick,program,92,things that scare people,3.0,26.0
91363,0.0,pizza,cab,monkey,roof,93,things found in big cities,4.0,3.0
deepseek-chat_run2,1.0,leader,contract,madame,county,94,"Terms that can be preceded by ""head"" to form a compound noun or title",3.0,25.0
94869,0.0,jail,weapon,knife,shirt,95,Weapons and a place to hide them,1.0,64.0
deepseek-chat_run3,0.0,singer,thumb,temple,dime,97,"Things that can be ""ring"" related",3.0,40.0
95414,1.0,painting,cigarette,tank,garden,98,Things you do when youre older and have more time on your hands,2.0,48.0
91304,1.0,signal,contact,director,heat,99,Things that can impact a person's tv connection,2.0,59.0
93945,0.0,size,mister,conversation,code,100,Gossip,1.0,45.0
